,slide_name,Fibrosis Percentage,scar,group,study,expanded_analysis,total_nuclei,total_connexins,total_connexin_area,total_mean_plaque_size,total_connexin_count_per_cell,annotation_area,total_connexin_area_per_cell,total_connexins_per_annotation_area,total_nuclei_count_per_annotation_area,total_nuclei_area_per_annotation_area,subject,sample,section,location,spacing
341,14-4B,58.72,center,infarct,sbrt,,,,,,,,,,,,14,4B,4,apex,3.0
342,14-4C,25.5,border,infarct,sbrt,,,,,,,,,,,,14,4C,4,apex,3.0
343,14-4D,3.97,healthy,infarct,sbrt,,,,,,,,,,,,14,4D,4,apex,3.0
344,14-4E,1.91,healthy,infarct,sbrt,,,,,,,,,,,,14,4E,4,apex,3.0
345,14-5A,16.41,border,infarct,sbrt,,,,,,,,,,,,14,5A,5,mid,3.0
346,14-5B,34.03,border,infarct,sbrt,False,367998.0,158262.0,2101433.25,13.278192175000948,0.43006211990282556,526260,5.710447475258018,3.9931464485235435,0.6992703226542013,14.090827727739141,14,5B,5,mid,3.0
347,14-5C,25.08,border,infarct,sbrt,,,,,,,,,,,,14,5C,5,mid,3.0
348,14-5D,1.07,healthy,infarct,sbrt,,,,,,,,,,,,14,5D,5,mid,3.0
349,14-6A,17.15,border,infarct,sbrt,,,,,,,,,,,,14,6A,6,mid,3.0
350,14-6B,39.54,border,infarct,sbrt,,,,,,,,,,,,14,6B,6,mid,3.0
351,14-6C,31.92,border,infarct,sbrt,,,,,,,,,,,,14,6C,6,mid,3.0
352,14-6D,0.93,healthy,infarct,sbrt,,,,,,,,,,,,14,6D,6,mid,3.0
353,14-7A,29.58,border,infarct,sbrt,,,,,,,,,,,,14,7A,7,mid,3.0
354,14-7B,25.63,border,infarct,sbrt,,,,,,,,,,,,14,7B,7,mid,3.0
